LegalEntity,Period,MainAccount,BudgetAmount,AccountName,AccountCategory
DE01,2025-01,4000,509235.01,Revenue - Product Sales,Revenue
DE01,2025-02,4000,519450.01,Revenue - Product Sales,Revenue
DE01,2025-03,4000,502903.7,Revenue - Product Sales,Revenue
DE01,2025-04,4000,508049.25,Revenue - Product Sales,Revenue
DE01,2025-05,4000,510956.65,Revenue - Product Sales,Revenue
DE01,2025-06,4000,499955.7,Revenue - Product Sales,Revenue
DE01,2025-07,4000,506258.85,Revenue - Product Sales,Revenue
DE01,2025-08,4000,504126.93,Revenue - Product Sales,Revenue
DE01,2025-09,4000,504984.58,Revenue - Product Sales,Revenue
DE01,2025-10,4000,496208.06,Revenue - Product Sales,Revenue
DE01,2025-11,4000,504247.06,Revenue - Product Sales,Revenue
DE01,2025-12,4000,509019.82,Revenue - Product Sales,Revenue
DE01,2025-01,4010,259313.76,Revenue - Services,Revenue
DE01,2025-02,4010,256834.72,Revenue - Services,Revenue
DE01,2025-03,4010,262852.04,Revenue - Services,Revenue
DE01,2025-04,4010,248132.57,Revenue - Services,Revenue
DE01,2025-05,4010,256396.5,Revenue - Services,Revenue
DE01,2025-06,4010,252924.04,Revenue - Services,Revenue
DE01,2025-07,4010,263036.61,Revenue - Services,Revenue
DE01,2025-08,4010,247926.18,Revenue - Services,Revenue
DE01,2025-09,4010,247767.8,Revenue - Services,Revenue
DE01,2025-10,4010,248979.06,Revenue - Services,Revenue
DE01,2025-11,4010,241295.57,Revenue - Services,Revenue
DE01,2025-12,4010,249350.19,Revenue - Services,Revenue
DE01,2025-01,5000,165449.31,COGS - Materials,COGS
DE01,2025-02,5000,168505.32,COGS - Materials,COGS
DE01,2025-03,5000,169148.3,COGS - Materials,COGS
DE01,2025-04,5000,174303.93,COGS - Materials,COGS
DE01,2025-05,5000,171193.42,COGS - Materials,COGS
DE01,2025-06,5000,166061.6,COGS - Materials,COGS
DE01,2025-07,5000,164981.33,COGS - Materials,COGS
DE01,2025-08,5000,169652.85,COGS - Materials,COGS
DE01,2025-09,5000,163564.02,COGS - Materials,COGS
DE01,2025-10,5000,174153.7,COGS - Materials,COGS
DE01,2025-11,5000,171962.92,COGS - Materials,COGS
DE01,2025-12,5000,166423.57,COGS - Materials,COGS
DE01,2025-01,5010,162243.87,COGS - Freight,COGS
DE01,2025-02,5010,172549.01,COGS - Freight,COGS
DE01,2025-03,5010,167615.15,COGS - Freight,COGS
DE01,2025-04,5010,172159.06,COGS - Freight,COGS
